"FullName","Name","Parent","Depth","LastWrite","ChildDirs","ChildFiles"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 3\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4","Fallout 4","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets","6","30/04/2022 18:40:10","2","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4","7","30/04/2022 18:40:10","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\BethINI-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4","7","30/04/2022 18:40:10","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Source\Presets\Fallout 4\Vanilla-Presets","8","30/04/2022 18:40:10","0","2"
