"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\ultra\Fallout.ini","Archivo","366","2022-02-27 00:13:06"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\ultra\FalloutPrefs.ini","Archivo","1021","2016-06-24 10:59:42"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\high\Oblivion.ini","Archivo","1066","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\low\Oblivion.ini","Archivo","1069","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\medium\Oblivion.ini","Archivo","1070","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\poor\Oblivion.ini","Archivo","1061","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
